46,<0.1,9,192,263,adult_by_self,GAC_OUT
47,<0.1,10,192,263,adult_by_self,GAC_OUT
48,<0.1,11,192,263,adult_by_self,GAC_OUT
48,<0.1,12,192,263,adult_by_self,GAC_OUT
49,<0.1,13,192,263,adult_by_self,GAC_OUT
49,<0.1,14,192,263,adult_by_self,GAC_OUT
50,<0.1,15,192,263,adult_by_self,GAC_OUT
51,0.1,16,192,263,adult_by_self,GAC_OUT
51,0.1,17,192,263,adult_by_self,GAC_OUT
52,0.1,18,192,263,adult_by_self,GAC_OUT
53,0.1,19,192,263,adult_by_self,GAC_OUT
53,0.1,20,192,263,adult_by_self,GAC_OUT
54,0.1,21,192,263,adult_by_self,GAC_OUT
55,0.1,22,192,263,adult_by_self,GAC_OUT
55,0.1,23,192,263,adult_by_self,GAC_OUT
56,0.2,24,192,263,adult_by_self,GAC_OUT
56,0.2,25,192,263,adult_by_self,GAC_OUT
57,0.2,26,192,263,adult_by_self,GAC_OUT
58,0.3,27,192,263,adult_by_self,GAC_OUT
58,0.3,28,192,263,adult_by_self,GAC_OUT
59,0.3,29,192,263,adult_by_self,GAC_OUT
60,0.4,30,192,263,adult_by_self,GAC_OUT
60,0.4,31,192,263,adult_by_self,GAC_OUT
61,0.5,32,192,263,adult_by_self,GAC_OUT
62,1,33,192,263,adult_by_self,GAC_OUT
62,1,34,192,263,adult_by_self,GAC_OUT
63,1,35,192,263,adult_by_self,GAC_OUT
63,1,36,192,263,adult_by_self,GAC_OUT
64,1,37,192,263,adult_by_self,GAC_OUT
65,1,38,192,263,adult_by_self,GAC_OUT
65,1,39,192,263,adult_by_self,GAC_OUT
66,1,40,192,263,adult_by_self,GAC_OUT
67,1,41,192,263,adult_by_self,GAC_OUT
67,1,42,192,263,adult_by_self,GAC_OUT
68,2,43,192,263,adult_by_self,GAC_OUT
69,2,44,192,263,adult_by_self,GAC_OUT
69,2,45,192,263,adult_by_self,GAC_OUT
70,2,46,192,263,adult_by_self,GAC_OUT
71,3,47,192,263,adult_by_self,GAC_OUT
71,3,48,192,263,adult_by_self,GAC_OUT
72,3,49,192,263,adult_by_self,GAC_OUT
72,3,50,192,263,adult_by_self,GAC_OUT
73,4,51,192,263,adult_by_self,GAC_OUT
74,4,52,192,263,adult_by_self,GAC_OUT
74,4,53,192,263,adult_by_self,GAC_OUT
75,5,54,192,263,adult_by_self,GAC_OUT
76,5,55,192,263,adult_by_self,GAC_OUT
76,5,56,192,263,adult_by_self,GAC_OUT
77,6,57,192,263,adult_by_self,GAC_OUT
78,7,58,192,263,adult_by_self,GAC_OUT
78,7,59,192,263,adult_by_self,GAC_OUT
79,8,60,192,263,adult_by_self,GAC_OUT
79,8,61,192,263,adult_by_self,GAC_OUT
80,9,62,192,263,adult_by_self,GAC_OUT
81,10,63,192,263,adult_by_self,GAC_OUT
81,10,64,192,263,adult_by_self,GAC_OUT
82,12,65,192,263,adult_by_self,GAC_OUT
83,13,66,192,263,adult_by_self,GAC_OUT
83,13,67,192,263,adult_by_self,GAC_OUT
84,14,68,192,263,adult_by_self,GAC_OUT
85,16,69,192,263,adult_by_self,GAC_OUT
85,16,70,192,263,adult_by_self,GAC_OUT
86,18,71,192,263,adult_by_self,GAC_OUT
86,18,72,192,263,adult_by_self,GAC_OUT
87,19,73,192,263,adult_by_self,GAC_OUT
88,21,74,192,263,adult_by_self,GAC_OUT
88,21,75,192,263,adult_by_self,GAC_OUT
89,23,76,192,263,adult_by_self,GAC_OUT
90,25,77,192,263,adult_by_self,GAC_OUT
90,25,78,192,263,adult_by_self,GAC_OUT
91,27,79,192,263,adult_by_self,GAC_OUT
92,30,80,192,263,adult_by_self,GAC_OUT
92,30,81,192,263,adult_by_self,GAC_OUT
93,32,82,192,263,adult_by_self,GAC_OUT
93,32,83,192,263,adult_by_self,GAC_OUT
94,34,84,192,263,adult_by_self,GAC_OUT
95,37,85,192,263,adult_by_self,GAC_OUT
95,37,86,192,263,adult_by_self,GAC_OUT
96,39,87,192,263,adult_by_self,GAC_OUT
97,42,88,192,263,adult_by_self,GAC_OUT
97,42,89,192,263,adult_by_self,GAC_OUT
98,45,90,192,263,adult_by_self,GAC_OUT
99,47,91,192,263,adult_by_self,GAC_OUT
99,47,92,192,263,adult_by_self,GAC_OUT
100,50,93,192,263,adult_by_self,GAC_OUT
101,53,94,192,263,adult_by_self,GAC_OUT
102,55,95,192,263,adult_by_self,GAC_OUT
103,58,96,192,263,adult_by_self,GAC_OUT
104,61,97,192,263,adult_by_self,GAC_OUT
105,63,98,192,263,adult_by_self,GAC_OUT
106,66,99,192,263,adult_by_self,GAC_OUT
107,68,100,192,263,adult_by_self,GAC_OUT
107,68,101,192,263,adult_by_self,GAC_OUT
108,70,102,192,263,adult_by_self,GAC_OUT
109,73,103,192,263,adult_by_self,GAC_OUT
110,75,104,192,263,adult_by_self,GAC_OUT
111,77,105,192,263,adult_by_self,GAC_OUT
112,79,106,192,263,adult_by_self,GAC_OUT
113,81,107,192,263,adult_by_self,GAC_OUT
114,82,108,192,263,adult_by_self,GAC_OUT
115,84,109,192,263,adult_by_self,GAC_OUT
116,86,110,192,263,adult_by_self,GAC_OUT
117,87,111,192,263,adult_by_self,GAC_OUT
118,88,112,192,263,adult_by_self,GAC_OUT
119,90,113,192,263,adult_by_self,GAC_OUT
120,>90,114,192,263,adult_by_self,GAC_OUT
120,>90,115,192,263,adult_by_self,GAC_OUT
120,>90,116,192,263,adult_by_self,GAC_OUT
120,>90,117,192,263,adult_by_self,GAC_OUT
