scaled_score,raw_score,min_age,max_age,sub_domain,for
6,0,0,0,sd,parent
7,1,0,0,sd,parent
8,2,0,0,sd,parent
8,3,0,0,sd,parent
9,4,0,0,sd,parent
10,5,0,0,sd,parent
10,6,0,0,sd,parent
11,7,0,0,sd,parent
12,8,0,0,sd,parent
12,9,0,0,sd,parent
13,10,0,0,sd,parent
13,11,0,0,sd,parent
14,12,0,0,sd,parent
15,13,0,0,sd,parent
15,14,0,0,sd,parent
16,15,0,0,sd,parent
17,16,0,0,sd,parent
17,17,0,0,sd,parent
18,18,0,0,sd,parent
18,19,0,0,sd,parent
19,20,0,0,sd,parent
19,21,0,0,sd,parent
19,22,0,0,sd,parent
19,23,0,0,sd,parent
19,24,0,0,sd,parent
19,25,0,0,sd,parent
19,26,0,0,sd,parent
19,27,0,0,sd,parent
19,28,0,0,sd,parent
19,29,0,0,sd,parent
19,30,0,0,sd,parent
19,31,0,0,sd,parent
19,32,0,0,sd,parent
19,33,0,0,sd,parent
19,34,0,0,sd,parent
19,35,0,0,sd,parent
19,36,0,0,sd,parent
19,37,0,0,sd,parent
19,38,0,0,sd,parent
19,39,0,0,sd,parent
19,40,0,0,sd,parent
19,41,0,0,sd,parent
19,42,0,0,sd,parent
19,43,0,0,sd,parent
19,44,0,0,sd,parent
19,45,0,0,sd,parent
19,46,0,0,sd,parent
19,47,0,0,sd,parent
19,48,0,0,sd,parent
19,49,0,0,sd,parent
19,50,0,0,sd,parent
19,51,0,0,sd,parent
19,52,0,0,sd,parent
19,53,0,0,sd,parent
19,54,0,0,sd,parent
19,55,0,0,sd,parent
19,56,0,0,sd,parent
19,57,0,0,sd,parent
19,58,0,0,sd,parent
19,59,0,0,sd,parent
19,60,0,0,sd,parent
19,61,0,0,sd,parent
19,62,0,0,sd,parent
19,63,0,0,sd,parent
19,64,0,0,sd,parent
19,65,0,0,sd,parent
19,66,0,0,sd,parent
19,67,0,0,sd,parent
19,68,0,0,sd,parent
19,69,0,0,sd,parent
19,70,0,0,sd,parent
19,71,0,0,sd,parent
19,72,0,0,sd,parent
6,0,1,1,sd,parent
7,1,1,1,sd,parent
8,2,1,1,sd,parent
8,3,1,1,sd,parent
9,4,1,1,sd,parent
10,5,1,1,sd,parent
10,6,1,1,sd,parent
11,7,1,1,sd,parent
11,8,1,1,sd,parent
12,9,1,1,sd,parent
13,10,1,1,sd,parent
13,11,1,1,sd,parent
14,12,1,1,sd,parent
14,13,1,1,sd,parent
15,14,1,1,sd,parent
15,15,1,1,sd,parent
16,16,1,1,sd,parent
16,17,1,1,sd,parent
17,18,1,1,sd,parent
18,19,1,1,sd,parent
18,20,1,1,sd,parent
19,21,1,1,sd,parent
19,22,1,1,sd,parent
19,23,1,1,sd,parent
19,24,1,1,sd,parent
19,25,1,1,sd,parent
19,26,1,1,sd,parent
19,27,1,1,sd,parent
19,28,1,1,sd,parent
19,29,1,1,sd,parent
19,30,1,1,sd,parent
19,31,1,1,sd,parent
19,32,1,1,sd,parent
19,33,1,1,sd,parent
19,34,1,1,sd,parent
19,35,1,1,sd,parent
19,36,1,1,sd,parent
19,37,1,1,sd,parent
19,38,1,1,sd,parent
19,39,1,1,sd,parent
19,40,1,1,sd,parent
19,41,1,1,sd,parent
19,42,1,1,sd,parent
19,43,1,1,sd,parent
19,44,1,1,sd,parent
19,45,1,1,sd,parent
19,46,1,1,sd,parent
19,47,1,1,sd,parent
19,48,1,1,sd,parent
19,49,1,1,sd,parent
19,50,1,1,sd,parent
19,51,1,1,sd,parent
19,52,1,1,sd,parent
19,53,1,1,sd,parent
19,54,1,1,sd,parent
19,55,1,1,sd,parent
19,56,1,1,sd,parent
19,57,1,1,sd,parent
19,58,1,1,sd,parent
19,59,1,1,sd,parent
19,60,1,1,sd,parent
19,61,1,1,sd,parent
19,62,1,1,sd,parent
19,63,1,1,sd,parent
19,64,1,1,sd,parent
19,65,1,1,sd,parent
19,66,1,1,sd,parent
19,67,1,1,sd,parent
19,68,1,1,sd,parent
19,69,1,1,sd,parent
19,70,1,1,sd,parent
19,71,1,1,sd,parent
19,72,1,1,sd,parent
6,0,2,2,sd,parent
7,1,2,2,sd,parent
8,2,2,2,sd,parent
8,3,2,2,sd,parent
9,4,2,2,sd,parent
10,5,2,2,sd,parent
10,6,2,2,sd,parent
11,7,2,2,sd,parent
11,8,2,2,sd,parent
12,9,2,2,sd,parent
12,10,2,2,sd,parent
13,11,2,2,sd,parent
13,12,2,2,sd,parent
14,13,2,2,sd,parent
14,14,2,2,sd,parent
15,15,2,2,sd,parent
15,16,2,2,sd,parent
16,17,2,2,sd,parent
16,18,2,2,sd,parent
17,19,2,2,sd,parent
17,20,2,2,sd,parent
18,21,2,2,sd,parent
18,22,2,2,sd,parent
19,23,2,2,sd,parent
19,24,2,2,sd,parent
19,25,2,2,sd,parent
19,26,2,2,sd,parent
19,27,2,2,sd,parent
19,28,2,2,sd,parent
19,29,2,2,sd,parent
19,30,2,2,sd,parent
19,31,2,2,sd,parent
19,32,2,2,sd,parent
19,33,2,2,sd,parent
19,34,2,2,sd,parent
19,35,2,2,sd,parent
19,36,2,2,sd,parent
19,37,2,2,sd,parent
19,38,2,2,sd,parent
19,39,2,2,sd,parent
19,40,2,2,sd,parent
19,41,2,2,sd,parent
19,42,2,2,sd,parent
19,43,2,2,sd,parent
19,44,2,2,sd,parent
19,45,2,2,sd,parent
19,46,2,2,sd,parent
19,47,2,2,sd,parent
19,48,2,2,sd,parent
19,49,2,2,sd,parent
19,50,2,2,sd,parent
19,51,2,2,sd,parent
19,52,2,2,sd,parent
19,53,2,2,sd,parent
19,54,2,2,sd,parent
19,55,2,2,sd,parent
19,56,2,2,sd,parent
19,57,2,2,sd,parent
19,58,2,2,sd,parent
19,59,2,2,sd,parent
19,60,2,2,sd,parent
19,61,2,2,sd,parent
19,62,2,2,sd,parent
19,63,2,2,sd,parent
19,64,2,2,sd,parent
19,65,2,2,sd,parent
19,66,2,2,sd,parent
19,67,2,2,sd,parent
19,68,2,2,sd,parent
19,69,2,2,sd,parent
19,70,2,2,sd,parent
19,71,2,2,sd,parent
19,72,2,2,sd,parent
6,0,3,3,sd,parent
7,1,3,3,sd,parent
8,2,3,3,sd,parent
8,3,3,3,sd,parent
9,4,3,3,sd,parent
10,5,3,3,sd,parent
10,6,3,3,sd,parent
11,7,3,3,sd,parent
